"Sensitivity","Precision","T_coverage","N_coverage","VAF","BND_threshold","RUN","REP","Caller"
0.231428571428571,0.848101265822785,30,45,0.1,5,"RUN1","SVEngine1","Manta"
0.238571428571429,0.887096774193548,30,45,0.1,50,"RUN1","SVEngine1","Manta"
0.25,0.943615257048093,30,45,0.1,100,"RUN1","SVEngine1","Manta"
0.251428571428571,0.972742759795571,30,45,0.1,150,"RUN1","SVEngine1","Manta"
0.252142857142857,0.981132075471698,30,45,0.1,200,"RUN1","SVEngine1","Manta"
0.533571428571429,0.862153344208809,30,45,0.2,2,"RUN1","SVEngine1","Manta"
0.547142857142857,0.885784716516023,30,45,0.2,5,"RUN1","SVEngine1","Manta"
0.575,0.920164609053498,30,45,0.2,50,"RUN1","SVEngine1","Manta"
0.609285714285714,0.962871287128713,30,45,0.2,100,"RUN1","SVEngine1","Manta"
0.613571428571429,0.974252491694352,30,45,0.2,150,"RUN1","SVEngine1","Manta"
0.613571428571429,0.975873544093178,30,45,0.2,200,"RUN1","SVEngine1","Manta"
0.840714285714286,0.928,30,45,0.5,2,"RUN1","SVEngine1","Manta"
0.862857142857143,0.955307262569832,30,45,0.5,5,"RUN1","SVEngine1","Manta"
0.866428571428571,0.958436724565757,30,45,0.5,50,"RUN1","SVEngine1","Manta"
0.871428571428571,0.96039603960396,30,45,0.5,100,"RUN1","SVEngine1","Manta"
0.871428571428571,0.96039603960396,30,45,0.5,150,"RUN1","SVEngine1","Manta"
0.871428571428571,0.96039603960396,30,45,0.5,200,"RUN1","SVEngine1","Manta"
0.86,0.919306634787806,30,45,0.8,2,"RUN1","SVEngine1","Manta"
0.879285714285714,0.943908323281062,30,45,0.8,5,"RUN1","SVEngine1","Manta"
0.882142857142857,0.94578313253012,30,45,0.8,50,"RUN1","SVEngine1","Manta"
0.885714285714286,0.946546546546547,30,45,0.8,100,"RUN1","SVEngine1","Manta"
0.885714285714286,0.946546546546547,30,45,0.8,150,"RUN1","SVEngine1","Manta"
0.885714285714286,0.947115384615385,30,45,0.8,200,"RUN1","SVEngine1","Manta"
0.867142857142857,0.910211267605634,30,45,1,2,"RUN1","SVEngine1","Manta"
